source,code,site,site_type,latitude,longitude,variable,Parameter_name,start_date,end_date,ratified_to,zone,agglomeration,local_authority
aurn,ABD7,Aberdeen Union Street Roadside,Urban Traffic,57.144555,-2.106472,NO2,Nitrogen dioxide,2008-01-01T00:00:00Z,ongoing,2024-03-31T00:00:00Z,North East Scotland,NA,Aberdeen City
aurn,ABD7,Aberdeen Union Street Roadside,Urban Traffic,57.144555,-2.106472,NOx,Nitrogen oxides as nitrogen dioxide,2008-01-01T00:00:00Z,ongoing,2024-03-31T00:00:00Z,North East Scotland,NA,Aberdeen City
aurn,ABD7,Aberdeen Union Street Roadside,Urban Traffic,57.144555,-2.106472,wd,Modelled Wind Direction,2010-08-01T00:00:00Z,ongoing,NA,North East Scotland,NA,Aberdeen City
aurn,ABD7,Aberdeen Union Street Roadside,Urban Traffic,57.144555,-2.106472,ws,Modelled Wind Speed,2010-08-01T00:00:00Z,ongoing,NA,North East Scotland,NA,Aberdeen City
aurn,ABD7,Aberdeen Union Street Roadside,Urban Traffic,57.144555,-2.106472,temp,Modelled Temperature,2010-08-01T00:00:00Z,ongoing,NA,North East Scotland,NA,Aberdeen City
aurn,ABD8,Aberdeen Wellington Road,Urban Traffic,57.133888,-2.094198,NO,Nitric oxide,2016-02-09T00:00:00Z,ongoing,2024-03-31T00:00:00Z,North East Scotland,NA,Aberdeen City
aurn,ABD8,Aberdeen Wellington Road,Urban Traffic,57.133888,-2.094198,NO2,Nitrogen dioxide,2016-02-09T00:00:00Z,ongoing,2024-03-31T00:00:00Z,North East Scotland,NA,Aberdeen City
aurn,ABD8,Aberdeen Wellington Road,Urban Traffic,57.133888,-2.094198,NOx,Nitrogen oxides as nitrogen dioxide,2016-02-09T00:00:00Z,ongoing,2024-03-31T00:00:00Z,North East Scotland,NA,Aberdeen City
aurn,ABD8,Aberdeen Wellington Road,Urban Traffic,57.133888,-2.094198,wd,Modelled Wind Direction,2016-02-09T00:00:00Z,ongoing,NA,North East Scotland,NA,Aberdeen City
aurn,ABD8,Aberdeen Wellington Road,Urban Traffic,57.133888,-2.094198,ws,Modelled Wind Speed,2016-02-09T00:00:00Z,ongoing,NA,North East Scotland,NA,Aberdeen City
aurn,ABD8,Aberdeen Wellington Road,Urban Traffic,57.133888,-2.094198,temp,Modelled Temperature,2016-02-09T00:00:00Z,ongoing,NA,North East Scotland,NA,Aberdeen City
aurn,ARM6,Armagh Roadside,Urban Traffic,54.353728,-6.654558,NO,Nitric oxide,2009-01-01T00:00:00Z,ongoing,2024-03-31T00:00:00Z,Northern Ireland,NA,"Armagh, Banbridge and Craigavon"
aurn,ARM6,Armagh Roadside,Urban Traffic,54.353728,-6.654558,NO2,Nitrogen dioxide,2009-01-01T00:00:00Z,ongoing,2024-03-31T00:00:00Z,Northern Ireland,NA,"Armagh, Banbridge and Craigavon"
aurn,ARM6,Armagh Roadside,Urban Traffic,54.353728,-6.654558,NOx,Nitrogen oxides as nitrogen dioxide,2009-01-01T00:00:00Z,ongoing,2024-03-31T00:00:00Z,Northern Ireland,NA,"Armagh, Banbridge and Craigavon"
aurn,ARM6,Armagh Roadside,Urban Traffic,54.353728,-6.654558,PM10,PM10 particulate matter (Hourly measured),2009-01-01T00:00:00Z,ongoing,2024-03-31T00:00:00Z,Northern Ireland,NA,"Armagh, Banbridge and Craigavon"
aurn,ARM6,Armagh Roadside,Urban Traffic,54.353728,-6.654558,NV10,Non-volatile PM10 (Hourly measured),2010-09-03T00:00:00Z,2020-02-06,2020-02-06T00:00:00Z,Northern Ireland,NA,"Armagh, Banbridge and Craigavon"
aurn,ARM6,Armagh Roadside,Urban Traffic,54.353728,-6.654558,V10,Volatile PM10 (Hourly measured),2010-09-03T00:00:00Z,2020-02-06,2020-02-06T00:00:00Z,Northern Ireland,NA,"Armagh, Banbridge and Craigavon"
aurn,ARM6,Armagh Roadside,Urban Traffic,54.353728,-6.654558,wd,Modelled Wind Direction,2010-08-01T00:00:00Z,ongoing,NA,Northern Ireland,NA,"Armagh, Banbridge and Craigavon"
aurn,ARM6,Armagh Roadside,Urban Traffic,54.353728,-6.654558,ws,Modelled Wind Speed,2010-08-01T00:00:00Z,ongoing,NA,Northern Ireland,NA,"Armagh, Banbridge and Craigavon"
aurn,ARM6,Armagh Roadside,Urban Traffic,54.353728,-6.654558,temp,Modelled Temperature,2010-08-01T00:00:00Z,ongoing,NA,Northern Ireland,NA,"Armagh, Banbridge and Craigavon"
aurn,AH,Aston Hill,Rural Background,52.50385,-3.034178,O3,Ozone,1986-06-26T00:00:00Z,ongoing,2024-03-31T00:00:00Z,North Wales,NA,Powys
aurn,AH,Aston Hill,Rural Background,52.50385,-3.034178,NO,Nitric oxide,2003-10-21T00:00:00Z,ongoing,2024-03-31T00:00:00Z,North Wales,NA,Powys
aurn,AH,Aston Hill,Rural Background,52.50385,-3.034178,NO2,Nitrogen dioxide,2003-10-21T00:00:00Z,ongoing,2024-03-31T00:00:00Z,North Wales,NA,Powys
aurn,AH,Aston Hill,Rural Background,52.50385,-3.034178,NOx,Nitrogen oxides as nitrogen dioxide,2003-10-21T00:00:00Z,ongoing,2024-03-31T00:00:00Z,North Wales,NA,Powys
aurn,AH,Aston Hill,Rural Background,52.50385,-3.034178,wd,Modelled Wind Direction,2010-08-01T00:00:00Z,ongoing,NA,North Wales,NA,Powys
aurn,AH,Aston Hill,Rural Background,52.50385,-3.034178,ws,Modelled Wind Speed,2010-08-01T00:00:00Z,ongoing,NA,North Wales,NA,Powys
aurn,AH,Aston Hill,Rural Background,52.50385,-3.034178,temp,Modelled Temperature,2010-08-01T00:00:00Z,ongoing,NA,North Wales,NA,Powys
aurn,ACTH,Auchencorth Moss,Rural Background,55.79216,-3.2429,O3,Ozone,2006-11-01T00:00:00Z,ongoing,2024-03-31T00:00:00Z,Central Scotland,NA,Midlothian
aurn,ACTH,Auchencorth Moss,Rural Background,55.79216,-3.2429,PM10,PM10 particulate matter (Hourly measured),2006-01-01T00:00:00Z,ongoing,2024-03-31T00:00:00Z,Central Scotland,NA,Midlothian
aurn,ACTH,Auchencorth Moss,Rural Background,55.79216,-3.2429,NV10,Non-volatile PM10 (Hourly measured),2006-01-01T00:00:00Z,2018-08-08,2018-08-08T00:00:00Z,Central Scotland,NA,Midlothian
aurn,ACTH,Auchencorth Moss,Rural Background,55.79216,-3.2429,V10,Volatile PM10 (Hourly measured),2006-01-01T00:00:00Z,2018-08-08,2018-08-08T00:00:00Z,Central Scotland,NA,Midlothian
aurn,ACTH,Auchencorth Moss,Rural Background,55.79216,-3.2429,PM2.5,PM2.5 particulate matter (Hourly measured),2006-01-01T00:00:00Z,ongoing,2024-03-31T00:00:00Z,Central Scotland,NA,Midlothian
aurn,ACTH,Auchencorth Moss,Rural Background,55.79216,-3.2429,NV2.5,Non-volatile PM2.5 (Hourly measured),2006-01-01T00:00:00Z,2018-08-08,2018-08-08T00:00:00Z,Central Scotland,NA,Midlothian
aurn,ACTH,Auchencorth Moss,Rural Background,55.79216,-3.2429,V2.5,Volatile PM2.5 (Hourly measured),2006-01-01T00:00:00Z,2018-08-08,2018-08-08T00:00:00Z,Central Scotland,NA,Midlothian
aurn,ACTH,Auchencorth Moss,Rural Background,55.79216,-3.2429,GR10,PM10 particulate matter (Daily measured),2006-01-01T00:00:00Z,2016-10-05,2016-10-05T00:00:00Z,Central Scotland,NA,Midlothian
aurn,ACTH,Auchencorth Moss,Rural Background,55.79216,-3.2429,GR2.5,PM2.5 particulate matter (Daily measured),2006-01-01T00:00:00Z,2016-10-05,2016-10-05T00:00:00Z,Central Scotland,NA,Midlothian
aurn,ACTH,Auchencorth Moss,Rural Background,55.79216,-3.2429,ETHANE,ethane,2006-09-04T00:00:00Z,ongoing,2023-12-31T00:00:00Z,Central Scotland,NA,Midlothian
aurn,ACTH,Auchencorth Moss,Rural Background,55.79216,-3.2429,ETHENE,ethene,2006-09-04T00:00:00Z,ongoing,2023-12-31T00:00:00Z,Central Scotland,NA,Midlothian
aurn,ACTH,Auchencorth Moss,Rural Background,55.79216,-3.2429,ETHYNE,ethyne,2006-09-04T00:00:00Z,ongoing,2023-12-31T00:00:00Z,Central Scotland,NA,Midlothian
aurn,ACTH,Auchencorth Moss,Rural Background,55.79216,-3.2429,PROPANE,propane,2006-09-04T00:00:00Z,ongoing,2023-12-31T00:00:00Z,Central Scotland,NA,Midlothian
aurn,ACTH,Auchencorth Moss,Rural Background,55.79216,-3.2429,PROPENE,propene,2006-09-04T00:00:00Z,ongoing,2023-12-31T00:00:00Z,Central Scotland,NA,Midlothian
aurn,ACTH,Auchencorth Moss,Rural Background,55.79216,-3.2429,iBUTANE,iso-butane,2006-09-04T00:00:00Z,ongoing,2023-12-31T00:00:00Z,Central Scotland,NA,Midlothian
aurn,ACTH,Auchencorth Moss,Rural Background,55.79216,-3.2429,nBUTANE,n-butane,2006-09-04T00:00:00Z,ongoing,2023-12-31T00:00:00Z,Central Scotland,NA,Midlothian
aurn,ACTH,Auchencorth Moss,Rural Background,55.79216,-3.2429,1BUTENE,1-butene,2006-09-04T00:00:00Z,ongoing,2023-12-31T00:00:00Z,Central Scotland,NA,Midlothian
aurn,ACTH,Auchencorth Moss,Rural Background,55.79216,-3.2429,t2BUTENE,trans-2-butene,2006-09-04T00:00:00Z,ongoing,2023-12-31T00:00:00Z,Central Scotland,NA,Midlothian
aurn,ACTH,Auchencorth Moss,Rural Background,55.79216,-3.2429,c2BUTENE,cis-2-butene,2006-09-04T00:00:00Z,ongoing,2023-12-31T00:00:00Z,Central Scotland,NA,Midlothian
aurn,ACTH,Auchencorth Moss,Rural Background,55.79216,-3.2429,iPENTANE,iso-pentane,2006-09-04T00:00:00Z,ongoing,2023-12-31T00:00:00Z,Central Scotland,NA,Midlothian
aurn,ACTH,Auchencorth Moss,Rural Background,55.79216,-3.2429,nPENTANE,n-pentane,2006-09-04T00:00:00Z,ongoing,2023-12-31T00:00:00Z,Central Scotland,NA,Midlothian
aurn,ACTH,Auchencorth Moss,Rural Background,55.79216,-3.2429,13BDIENE,"1,3-butadiene",2006-09-04T00:00:00Z,ongoing,2023-12-31T00:00:00Z,Central Scotland,NA,Midlothian
aurn,ACTH,Auchencorth Moss,Rural Background,55.79216,-3.2429,t2PENTEN,trans-2-pentene,2006-09-04T00:00:00Z,ongoing,2023-12-31T00:00:00Z,Central Scotland,NA,Midlothian
aurn,ACTH,Auchencorth Moss,Rural Background,55.79216,-3.2429,1PENTEN,1-pentene,2006-09-04T00:00:00Z,ongoing,2023-12-31T00:00:00Z,Central Scotland,NA,Midlothian
aurn,ACTH,Auchencorth Moss,Rural Background,55.79216,-3.2429,2MEPENT,2-methylpentane,2006-09-04T00:00:00Z,ongoing,2023-12-31T00:00:00Z,Central Scotland,NA,Midlothian
aurn,ACTH,Auchencorth Moss,Rural Background,55.79216,-3.2429,ISOPRENE,isoprene,2006-09-04T00:00:00Z,ongoing,2023-12-31T00:00:00Z,Central Scotland,NA,Midlothian
aurn,ACTH,Auchencorth Moss,Rural Background,55.79216,-3.2429,nHEXANE,n-hexane,2006-09-04T00:00:00Z,ongoing,2023-12-31T00:00:00Z,Central Scotland,NA,Midlothian
aurn,ACTH,Auchencorth Moss,Rural Background,55.79216,-3.2429,nHEPTANE,n-heptane,2006-09-04T00:00:00Z,ongoing,2023-12-31T00:00:00Z,Central Scotland,NA,Midlothian
aurn,ACTH,Auchencorth Moss,Rural Background,55.79216,-3.2429,iOCTANE,iso-octane,2006-09-04T00:00:00Z,ongoing,2023-12-31T00:00:00Z,Central Scotland,NA,Midlothian
aurn,ACTH,Auchencorth Moss,Rural Background,55.79216,-3.2429,nOCTANE,n-octane,2006-09-04T00:00:00Z,ongoing,2023-12-31T00:00:00Z,Central Scotland,NA,Midlothian
aurn,ACTH,Auchencorth Moss,Rural Background,55.79216,-3.2429,BENZENE,benzene,2006-09-04T00:00:00Z,ongoing,2023-12-31T00:00:00Z,Central Scotland,NA,Midlothian
aurn,ACTH,Auchencorth Moss,Rural Background,55.79216,-3.2429,TOLUENE,toluene,2006-09-04T00:00:00Z,ongoing,2023-12-31T00:00:00Z,Central Scotland,NA,Midlothian
aurn,ACTH,Auchencorth Moss,Rural Background,55.79216,-3.2429,ETHBENZ,ethylbenzene,2006-09-04T00:00:00Z,ongoing,2023-12-31T00:00:00Z,Central Scotland,NA,Midlothian
aurn,ACTH,Auchencorth Moss,Rural Background,55.79216,-3.2429,mpXYLENE,m+p-xylene,2006-09-04T00:00:00Z,ongoing,2023-12-31T00:00:00Z,Central Scotland,NA,Midlothian
aurn,ACTH,Auchencorth Moss,Rural Background,55.79216,-3.2429,oXYLENE,o-xylene,2006-09-04T00:00:00Z,ongoing,2023-12-31T00:00:00Z,Central Scotland,NA,Midlothian
aurn,ACTH,Auchencorth Moss,Rural Background,55.79216,-3.2429,123TMB,"1,2,3-trimethylbenzene",2006-09-04T00:00:00Z,ongoing,2023-12-31T00:00:00Z,Central Scotland,NA,Midlothian
aurn,ACTH,Auchencorth Moss,Rural Background,55.79216,-3.2429,124TMB,"1,2,4-trimethylbenzene",2006-09-04T00:00:00Z,ongoing,2023-12-31T00:00:00Z,Central Scotland,NA,Midlothian
aurn,ACTH,Auchencorth Moss,Rural Background,55.79216,-3.2429,135TMB,"1,3,5-trimethylbenzene",2006-09-04T00:00:00Z,ongoing,2023-12-31T00:00:00Z,Central Scotland,NA,Midlothian
aurn,ACTH,Auchencorth Moss,Rural Background,55.79216,-3.2429,wd,Modelled Wind Direction,2010-08-01T00:00:00Z,ongoing,NA,Central Scotland,NA,Midlothian
aurn,ACTH,Auchencorth Moss,Rural Background,55.79216,-3.2429,ws,Modelled Wind Speed,2010-08-01T00:00:00Z,ongoing,NA,Central Scotland,NA,Midlothian
aurn,ACTH,Auchencorth Moss,Rural Background,55.79216,-3.2429,temp,Modelled Temperature,2010-08-01T00:00:00Z,ongoing,NA,Central Scotland,NA,Midlothian
aurn,BAAR,Ballymena Antrim Road,Urban Traffic,54.851491,-6.274961,NO,Nitric oxide,2017-04-01T00:00:00Z,ongoing,2024-03-31T00:00:00Z,Northern Ireland,NA,Mid and East Antrim
aurn,BAAR,Ballymena Antrim Road,Urban Traffic,54.851491,-6.274961,NO2,Nitrogen dioxide,2017-04-01T00:00:00Z,ongoing,2024-03-31T00:00:00Z,Northern Ireland,NA,Mid and East Antrim
aurn,BAAR,Ballymena Antrim Road,Urban Traffic,54.851491,-6.274961,NOx,Nitrogen oxides as nitrogen dioxide,2017-04-01T00:00:00Z,ongoing,2024-03-31T00:00:00Z,Northern Ireland,NA,Mid and East Antrim
aurn,BAAR,Ballymena Antrim Road,Urban Traffic,54.851491,-6.274961,wd,Modelled Wind Direction,2017-04-01T00:00:00Z,ongoing,NA,Northern Ireland,NA,Mid and East Antrim
aurn,BAAR,Ballymena Antrim Road,Urban Traffic,54.851491,-6.274961,ws,Modelled Wind Speed,2017-04-01T00:00:00Z,ongoing,NA,Northern Ireland,NA,Mid and East Antrim
aurn,BAAR,Ballymena Antrim Road,Urban Traffic,54.851491,-6.274961,temp,Modelled Temperature,2017-04-01T00:00:00Z,ongoing,NA,Northern Ireland,NA,Mid and East Antrim
aurn,BALM,Ballymena Ballykeel,Urban Background,54.861595,-6.250873,NO,Nitric oxide,2016-05-01T00:00:00Z,ongoing,2024-03-31T00:00:00Z,Northern Ireland,NA,Mid and East Antrim
aurn,BALM,Ballymena Ballykeel,Urban Background,54.861595,-6.250873,NO2,Nitrogen dioxide,2016-05-01T00:00:00Z,ongoing,2024-03-31T00:00:00Z,Northern Ireland,NA,Mid and East Antrim
aurn,BALM,Ballymena Ballykeel,Urban Background,54.861595,-6.250873,NOx,Nitrogen oxides as nitrogen dioxide,2016-05-01T00:00:00Z,ongoing,2024-03-31T00:00:00Z,Northern Ireland,NA,Mid and East Antrim
aurn,BALM,Ballymena Ballykeel,Urban Background,54.861595,-6.250873,SO2,Sulphur dioxide,2010-01-01T00:00:00Z,ongoing,2024-03-31T00:00:00Z,Northern Ireland,NA,Mid and East Antrim
aurn,BALM,Ballymena Ballykeel,Urban Background,54.861595,-6.250873,wd,Modelled Wind Direction,2010-08-01T00:00:00Z,ongoing,NA,Northern Ireland,NA,Mid and East Antrim
aurn,BALM,Ballymena Ballykeel,Urban Background,54.861595,-6.250873,ws,Modelled Wind Speed,2010-08-01T00:00:00Z,ongoing,NA,Northern Ireland,NA,Mid and East Antrim
aurn,BALM,Ballymena Ballykeel,Urban Background,54.861595,-6.250873,temp,Modelled Temperature,2010-08-01T00:00:00Z,ongoing,NA,Northern Ireland,NA,Mid and East Antrim
aurn,BARN,Barnsley,Urban Background,53.580045,-1.475865,SO2,Sulphur dioxide,1991-03-14T00:00:00Z,1994-03-21,1994-03-21T00:00:00Z,Yorkshire & Humberside,NA,Barnsley
aurn,BAR2,Barnsley 12,Urban Background,53.55593,-1.485153,SO2,Sulphur dioxide,1994-03-21T00:00:00Z,2012-07-17,2012-07-17T00:00:00Z,Yorkshire & Humberside,NA,Barnsley
aurn,BAR2,Barnsley 12,Urban Background,53.55593,-1.485153,wd,Modelled Wind Direction,2010-08-01T00:00:00Z,2012-07-17,NA,Yorkshire & Humberside,NA,Barnsley
aurn,BAR2,Barnsley 12,Urban Background,53.55593,-1.485153,ws,Modelled Wind Speed,2010-08-01T00:00:00Z,2012-07-17,NA,Yorkshire & Humberside,NA,Barnsley
aurn,BAR2,Barnsley 12,Urban Background,53.55593,-1.485153,temp,Modelled Temperature,2010-08-01T00:00:00Z,2012-07-17,NA,Yorkshire & Humberside,NA,Barnsley
aurn,BAR3,Barnsley Gawber,Urban Background,53.56292,-1.510436,O3,Ozone,1997-07-07T00:00:00Z,ongoing,2024-03-31T00:00:00Z,Yorkshire & Humberside,NA,Barnsley
aurn,BAR3,Barnsley Gawber,Urban Background,53.56292,-1.510436,NO,Nitric oxide,1997-07-07T00:00:00Z,ongoing,2024-03-31T00:00:00Z,Yorkshire & Humberside,NA,Barnsley
aurn,BAR3,Barnsley Gawber,Urban Background,53.56292,-1.510436,NO2,Nitrogen dioxide,1997-07-07T00:00:00Z,ongoing,2024-03-31T00:00:00Z,Yorkshire & Humberside,NA,Barnsley
aurn,BAR3,Barnsley Gawber,Urban Background,53.56292,-1.510436,NOx,Nitrogen oxides as nitrogen dioxide,1997-07-07T00:00:00Z,ongoing,2024-03-31T00:00:00Z,Yorkshire & Humberside,NA,Barnsley
aurn,BAR3,Barnsley Gawber,Urban Background,53.56292,-1.510436,SO2,Sulphur dioxide,1997-07-07T00:00:00Z,ongoing,2024-03-31T00:00:00Z,Yorkshire & Humberside,NA,Barnsley
aurn,BAR3,Barnsley Gawber,Urban Background,53.56292,-1.510436,CO,Carbon monoxide,2002-07-08T00:00:00Z,2007-09-30,2007-09-30T00:00:00Z,Yorkshire & Humberside,NA,Barnsley
aurn,BAR3,Barnsley Gawber,Urban Background,53.56292,-1.510436,PM10,PM10 particulate matter (Hourly measured),2023-04-06T00:00:00Z,ongoing,2024-03-31T00:00:00Z,Yorkshire & Humberside,NA,Barnsley
aurn,BAR3,Barnsley Gawber,Urban Background,53.56292,-1.510436,PM2.5,PM2.5 particulate matter (Hourly measured),2023-04-06T00:00:00Z,ongoing,2024-03-31T00:00:00Z,Yorkshire & Humberside,NA,Barnsley
aurn,BAR3,Barnsley Gawber,Urban Background,53.56292,-1.510436,wd,Modelled Wind Direction,2010-08-01T00:00:00Z,ongoing,NA,Yorkshire & Humberside,NA,Barnsley
aurn,BAR3,Barnsley Gawber,Urban Background,53.56292,-1.510436,ws,Modelled Wind Speed,2010-08-01T00:00:00Z,ongoing,NA,Yorkshire & Humberside,NA,Barnsley
aurn,BAR3,Barnsley Gawber,Urban Background,53.56292,-1.510436,temp,Modelled Temperature,2010-08-01T00:00:00Z,ongoing,NA,Yorkshire & Humberside,NA,Barnsley
aurn,BPLE,Barnstaple A39,Urban Traffic,51.074793,-4.041924,PM10,PM10 particulate matter (Hourly measured),2013-11-14T00:00:00Z,ongoing,2024-03-31T00:00:00Z,South West,NA,North Devon
aurn,BPLE,Barnstaple A39,Urban Traffic,51.074793,-4.041924,NV10,Non-volatile PM10 (Hourly measured),2013-11-14T00:00:00Z,2018-08-02,2018-08-02T00:00:00Z,South West,NA,North Devon
aurn,BPLE,Barnstaple A39,Urban Traffic,51.074793,-4.041924,V10,Volatile PM10 (Hourly measured),2013-11-14T00:00:00Z,2018-08-02,2018-08-02T00:00:00Z,South West,NA,North Devon
aurn,BPLE,Barnstaple A39,Urban Traffic,51.074793,-4.041924,PM2.5,PM2.5 particulate matter (Hourly measured),2013-11-14T00:00:00Z,ongoing,2024-03-31T00:00:00Z,South West,NA,North Devon
aurn,BPLE,Barnstaple A39,Urban Traffic,51.074793,-4.041924,NV2.5,Non-volatile PM2.5 (Hourly measured),2013-11-14T00:00:00Z,2018-08-02,2018-08-02T00:00:00Z,South West,NA,North Devon
aurn,BPLE,Barnstaple A39,Urban Traffic,51.074793,-4.041924,V2.5,Volatile PM2.5 (Hourly measured),2013-11-14T00:00:00Z,2018-08-02,2018-08-02T00:00:00Z,South West,NA,North Devon
aurn,BPLE,Barnstaple A39,Urban Traffic,51.074793,-4.041924,wd,Modelled Wind Direction,2013-11-14T00:00:00Z,ongoing,NA,South West,NA,North Devon
aurn,BPLE,Barnstaple A39,Urban Traffic,51.074793,-4.041924,ws,Modelled Wind Speed,2013-11-14T00:00:00Z,ongoing,NA,South West,NA,North Devon
aurn,BPLE,Barnstaple A39,Urban Traffic,51.074793,-4.041924,temp,Modelled Temperature,2013-11-14T00:00:00Z,ongoing,NA,South West,NA,North Devon
aurn,BHA4,Bath A4 Roadside,Urban Traffic,51.390922,-2.35503,NO,Nitric oxide,2019-10-24T00:00:00Z,ongoing,2024-03-31T00:00:00Z,South West,NA,Bath and North East Somerset
aurn,BHA4,Bath A4 Roadside,Urban Traffic,51.390922,-2.35503,NO2,Nitrogen dioxide,2019-10-24T00:00:00Z,ongoing,2024-03-31T00:00:00Z,South West,NA,Bath and North East Somerset
aurn,BHA4,Bath A4 Roadside,Urban Traffic,51.390922,-2.35503,NOx,Nitrogen oxides as nitrogen dioxide,2019-10-24T00:00:00Z,ongoing,2024-03-31T00:00:00Z,South West,NA,Bath and North East Somerset
aurn,BHA4,Bath A4 Roadside,Urban Traffic,51.390922,-2.35503,wd,Modelled Wind Direction,2019-10-24T00:00:00Z,ongoing,NA,South West,NA,Bath and North East Somerset
